2017-04-11 14:43:48 status unpacked libfdisk1:i386 2.27.1-6ubuntu3
2017-04-11 14:43:48 status unpacked libfdisk1:i386 2.27.1-6ubuntu3
2017-04-11 14:43:48 install libgcc1:i386 <none> 1:6.0.1-0ubuntu1
2017-04-11 14:43:48 status half-installed libgcc1:i386 1:6.0.1-0ubuntu1
2017-04-11 14:43:48 status unpacked libgcc1:i386 1:6.0.1-0ubuntu1
2017-04-11 14:43:48 status unpacked libgcc1:i386 1:6.0.1-0ubuntu1
2017-04-11 14:43:48 install libgcrypt20:i386 <none> 1.6.5-2
2017-04-11 14:43:48 status half-installed libgcrypt20:i386 1.6.5-2
2017-04-11 14:43:48 status unpacked libgcrypt20:i386 1.6.5-2
2017-04-11 14:43:48 status unpacked libgcrypt20:i386 1.6.5-2
2017-04-11 14:43:48 install libgpg-error0:i386 <none> 1.21-2ubuntu1
2017-04-11 14:43:48 status half-installed libgpg-error0:i386 1.21-2ubuntu1
2017-04-11 14:43:48 status unpacked libgpg-error0:i386 1.21-2ubuntu1
2017-04-11 14:43:48 status unpacked libgpg-error0:i386 1.21-2ubuntu1
2017-04-11 14:43:48 install libkmod2:i386 <none> 22-1ubuntu4
2017-04-11 14:43:48 status half-installed libkmod2:i386 22-1ubuntu4
2017-04-11 14:43:48 status unpacked libkmod2:i386 22-1ubuntu4
2017-04-11 14:43:48 status unpacked libkmod2:i386 22-1ubuntu4
2017-04-11 14:43:48 install liblzma5:i386 <none> 5.1.1alpha+20120614-2ubuntu2
2017-04-11 14:43:48 status half-installed liblzma5:i386 5.1.1alpha+20120614-2ubuntu2
2017-04-11 14:43:48 status unpacked liblzma5:i386 5.1.1alpha+20120614-2ubuntu2
2017-04-11 14:43:48 status unpacked liblzma5:i386 5.1.1alpha+20120614-2ubuntu2
2017-04-11 14:43:48 install libmount1:i386 <none> 2.27.1-6ubuntu3
2017-04-11 14:43:48 status half-installed libmount1:i386 2.27.1-6ubuntu3
2017-04-11 14:43:48 status unpacked libmount1:i386 2.27.1-6ubuntu3
2017-04-11 14:43:48 status unpacked libmount1:i386 2.27.1-6ubuntu3
2017-04-11 14:43:48 install libncurses5:i386 <none> 6.0+20160213-1ubuntu1
2017-04-11 14:43:48 status half-installed libncurses5:i386 6.0+20160213-1ubuntu1
2017-04-11 14:43:48 status unpacked libncurses5:i386 6.0+20160213-1ubuntu1
2017-04-11 14:43:48 status unpacked libncurses5:i386 6.0+20160213-1ubuntu1
2017-04-11 14:43:48 install libncursesw5:i386 <none> 6.0+20160213-1ubuntu1
2017-04-11 14:43:48 status half-installed libncursesw5:i386 6.0+20160213-1ubuntu1
2017-04-11 14:43:48 status unpacked libncursesw5:i386 6.0+20160213-1ubuntu1
2017-04-11 14:43:48 status unpacked libncursesw5:i386 6.0+20160213-1ubuntu1
2017-04-11 14:43:48 install libpam-modules:i386 <none> 1.1.8-3.2ubuntu2
2017-04-11 14:43:48 status half-installed libpam-modules:i386 1.1.8-3.2ubuntu2
2017-04-11 14:43:49 status unpacked libpam-modules:i386 1.1.8-3.2ubuntu2
2017-04-11 14:43:49 status unpacked libpam-modules:i386 1.1.8-3.2ubuntu2
2017-04-11 14:43:49 install libpam-modules-bin:i386 <none> 1.1.8-3.2ubuntu2
2017-04-11 14:43:49 status half-installed libpam-modules-bin:i386 1.1.8-3.2ubuntu2
2017-04-11 14:43:49 status unpacked libpam-modules-bin:i386 1.1.8-3.2ubuntu2
2017-04-11 14:43:49 status unpacked libpam-modules-bin:i386 1.1.8-3.2ubuntu2
2017-04-11 14:43:49 install libpam-runtime:all <none> 1.1.8-3.2ubuntu2
2017-04-11 14:43:49 status half-installed libpam-runtime:all 1.1.8-3.2ubuntu2
2017-04-11 14:43:49 status unpacked libpam-runtime:all 1.1.8-3.2ubuntu2
2017-04-11 14:43:49 status unpacked libpam-runtime:all 1.1.8-3.2ubuntu2
2017-04-11 14:43:49 install libpam0g:i386 <none> 1.1.8-3.2ubuntu2
2017-04-11 14:43:49 status half-installed libpam0g:i386 1.1.8-3.2ubuntu2
2017-04-11 14:43:49 status unpacked libpam0g:i386 1.1.8-3.2ubuntu2
2017-04-11 14:43:49 status unpacked libpam0g:i386 1.1.8-3.2ubuntu2
2017-04-11 14:43:49 install libpcre3:i386 <none> 2:8.38-3.1
2017-04-11 14:43:49 status half-installed libpcre3:i386 2:8.38-3.1
2017-04-11 14:43:49 status unpacked libpcre3:i386 2:8.38-3.1
2017-04-11 14:43:49 status unpacked libpcre3:i386 2:8.38-3.1
2017-04-11 14:43:49 install libprocps4:i386 <none> 2:3.3.10-4ubuntu2
2017-04-11 14:43:49 status half-installed libprocps4:i386 2:3.3.10-4ubuntu2
2017-04-11 14:43:49 status unpacked libprocps4:i386 2:3.3.10-4ubuntu2
2017-04-11 14:43:49 status unpacked libprocps4:i386 2:3.3.10-4ubuntu2
2017-04-11 14:43:49 install libseccomp2:i386 <none> 2.2.3-3ubuntu3
2017-04-11 14:43:49 status half-installed libseccomp2:i386 2.2.3-3ubuntu3
2017-04-11 14:43:49 status unpacked libseccomp2:i386 2.2.3-3ubuntu3
2017-04-11 14:43:49 status unpacked libseccomp2:i386 2.2.3-3ubuntu3
2017-04-11 14:43:49 install libselinux1:i386 <none> 2.4-3build2
2017-04-11 14:43:49 status half-installed libselinux1:i386 2.4-3build2
2017-04-11 14:43:49 status unpacked libselinux1:i386 2.4-3build2
2017-04-11 14:43:49 status unpacked libselinux1:i386 2.4-3build2
2017-04-11 14:43:50 install libsemanage-common:all <none> 2.3-1build3
2017-04-11 14:43:50 status half-installed libsemanage-common:all 2.3-1build3
